client_id;code;name;address;city;client_status;province;postal_code;contrat_id;contrat_code;1;à concatener avec 1?;2;3;4;contrat_status
6093b70b-b832-4d3d-a394-f6a75593d2af;VID11G;VIDEOTRON SENC;6528, WAVERLY, RC;MONTREAL, QC;active;;H2V 4M3;0350044e-afaa-4e84-9ded-b7e3c68725a1;VID11G-003;RAISON: Surveillance incendie de 4h;DEMANDEUR: Mario Valade (MVYB);# CC / PROJET : Travaux de soudure;190, RUE EDMONTON;GATINEAU,qc, J8Y 3S6;active
6093b70b-b832-4d3d-a394-f6a75593d2af;VID11G;VIDEOTRON SENC;6528, WAVERLY, RC;MONTREAL, QC;active;;H2V 4M3;24d9b2a7-7f1e-474b-8cd2-a58571942621;VID11G-004;RAISON: Agent pour surveillance incendie 4H;DEMANDEUR: Mario Valade (MVYB);# CC / PROJET : Travaux de soudure;190, RUE EDMONTON;GATINEAU,qc, J8Y 3S6;active
29bf0097-ffea-4a13-a2c7-ffca10edcd2f;CISSS1A;CISSS DE L'ABITIBI-TEMISCAMINGUE - SITE ABITIBI-OUEST;169, 7E AVENUE EST;MACAMIC;active;;J0Z 2S0;df2798a3-d092-4df0-986b-15e3819cf331;CISSS1A-004;SURVEILLANCE;;1ER ETAGE;;;active
40839808-fb95-4fc1-9d1a-feb5b9049946;JPL1G;8633509 CANADA INC. - CONSTRUCTION JPL;116, RUE LOIS;GATINEAU, QC;active;;J8Y 3R7;936f3130-4fa0-44b7-836e-64f68c047953;JPL1G-020;;;;880, BOUL DE LA CARRIERE;GATINEAU,qc, J8Y 6T5;active
f0de86cc-8581-4ac5-9099-f60205a58816;0000310115;DEVELOPPEMENTS HAUTES PLAINES;200 RUE MONTCALM, SUITE 400;GATINEAU, QC;active;;J8Y 3B5;8b398f3e-0d20-4fb8-8759-f555fd0a1458;310115-01;SURVEILLANCE DES STATIONNEMENTS;;200, BOUL. DE LA TECHNOLOGIE;75, BOUL. DE LA TECHNOLOGIE;GATINEAU,qc, J8Z 3G4;active
29bf0097-ffea-4a13-a2c7-ffca10edcd2f;CISSS1A;CISSS DE L'ABITIBI-TEMISCAMINGUE - SITE ABITIBI-OUEST;169, 7E AVENUE EST;MACAMIC;active;;J0Z 2S0;405e3eb7-a0fe-4d74-ae99-c29b9440e194;CISSS1A-008;;DEMANDEUR KARINE MORIN;4E ETAGE;CHEMIN MACAMIC;;active
103375f6-5aec-4217-b392-4cde46062ad1;SMCC1G;MUSEE CANADIEN DE L'HISTOIRE;100, RUE LAURIER;GATINEAU, QC;active;;K1A 0M8;3e0decf2-91a6-4b81-a396-3d1da2f98719;SMCC1G-876;;;4-H CANADA;;;active
9f17df77-9d83-4ee5-ad85-e17437134655;PJC051G;9346-2927 QUEBEC INC.;15, BOULEVARD MONTCLAIR;GATINEAU, QC;active;;J8Y 2E2;35ff5a5f-f43c-4877-927a-411b5adf7582;PJC051G-001;;;PJC #051;15, BOUL MONTCLAIR;GATINEAU,qc, J8Y 2E2;active
53d9bc45-7fed-4026-9246-12cd42cabcb9;IRP1G;IMMEUBLES R. POIRIER;1135, ST-JOSEPH;GATINEAU, QC;active;;J8Z 1W8;cecd4a0b-5b01-4106-a8e6-80e597a85b41;IRP1G-002;GESTION DE STATIONNEMENTS;;56-64 BOUL. GREBER;74, BOUL GREBER;GATINEAU,qc, J8T 3P8;active
95978b33-ab75-4451-97f0-86813c82a112;ABF1A;ABF MINES INC;127-A, AVENUE MARCEL-BARIL;ROUYN-NORANDA;active;;J9X 7B9;97f7d486-b01d-4863-8f76-89883e748ee1;ABF1A-002;;;ABF MINES;127-A, AVENUE MARCEL-BARIL;ROUYN-NORANDA,qc, J9X 7B9;active
